Category,Name,Latitude,Longitude
Airport Terminal,Cargo Terminal,19.0954400,72.8660044
Airport Terminal,transline air cargo servics pvt ltd unit no 17,19.1063277,72.8631392
Railway Station,Dahisar,19.2493572,72.8596302
Railway Station,Santa Cruz,19.0815223,72.8417565
Railway Station,Khar Road,19.0682411,72.8400412
Railway Station,Kanjur Marg,19.1296868,72.9283701
Railway Station,Vidyavihar,19.0795422,72.8971169
Railway Station,Chembur,19.0612128,72.8975909
Railway Station,Bhakti Park,19.0289720,72.8775722
Railway Station,Wadala Depot,19.0388641,72.8739426
Railway Station,Mysore Colony,19.0277168,72.8914397
Railway Station,Mulund,19.1721762,72.9562383
Railway Station,King's Circle,19.0316822,72.8577375
Railway Station,Chembur,19.0626319,72.9011399
Railway Station,Mankhurd,19.0485178,72.9323356
Railway Station,Nahur,19.1543618,72.9464735
Railway Station,Bandra,19.0549792,72.8402203
Railway Station,Dadar,19.0177342,72.8437523
Railway Station,Dadar,19.0192269,72.8428479
Railway Station,Mahim Junction,19.0406634,72.8466038
Railway Station,Vile Parle,19.0999098,72.8440038
Railway Station,Bharat Petroleum,19.0352839,72.8955553
Railway Station,VNP & RC Marg Junction,19.0526419,72.8942789
Railway Station,Chuna Bhatti,19.0517703,72.8690974
Railway Station,Sion,19.0465213,72.8632834
Railway Station,Fertilizer Township,19.0438776,72.8934560
Railway Station,Govandi,19.0553688,72.9150702
Railway Station,Bhandup,19.1438684,72.9384327
Railway Station,Borivali,19.2290680,72.8573628
Railway Station,Kandivali,19.2041136,72.8517376
Railway Station,Malad,19.1867193,72.8485884
Railway Station,Goregaon,19.1648688,72.8495492
Railway Station,Prabhadevi,19.0074717,72.8358965
Railway Station,Parel,19.0094817,72.8376614
Railway Station,Tilak Nagar,19.0657855,72.8904702
Railway Station,Wadala Bridge,19.0174849,72.8593168
Railway Station,Acharya Atre Nagar,19.0238248,72.8638112
Railway Station,Ambedkar Nagar,19.0015921,72.8442272
Railway Station,Antop Hill,19.0302863,72.8669592
Railway Station,Dadar East,19.0162531,72.8522274
Railway Station,Guru Tegh Bahadur Nagar,19.0367125,72.8707852
Railway Station,Naigaon,19.0095393,72.8478709
Railway Station,Vikhroli,19.1114795,72.9280210
Railway Station,Matunga,19.0274356,72.8501467
Railway Station,Matunga Road,19.0278149,72.8466813
Railway Station,Ghatkopar,19.0856928,72.9083668
Railway Station,Guru Tegh Bahadur Nagar,19.0380048,72.8643455
Railway Station,Mira Road,19.2816975,72.8560676
Railway Station,Dahanukarwadi,19.2062315,72.8348068
Railway Station,Kandivali (West),19.2140036,72.8373054
Railway Station,Borivali (West),19.2313925,72.8408607
Railway Station,Mandapeshwar - I.C. Colony,19.2495856,72.8458001
Railway Station,Kandarpada,19.2566337,72.8505040
Railway Station,Anand Nagar,19.2572087,72.8663486
Railway Station,Shimpoli,19.2228332,72.8409432
Railway Station,Eksar,19.2403773,72.8434456
Railway Station,CSMI Airport International T2,19.1023335,72.8744692
Railway Station,Bandra Kurla Complex (BKC),19.0606629,72.8546797
Railway Station,Andheri,19.1196976,72.8464205
Railway Station,SEEPZ,19.1259985,72.8737266
Railway Station,MIDC - Andheri,19.1173537,72.8735966
Railway Station,मरोळ नाका Marol Naka M3,19.1085041,72.8785780
Railway Station,Ram Mandir,19.1510230,72.8501467
Railway Station,Andheri,19.1204624,72.8487861
Railway Station,Lokmanya Tilak Terminus,19.0694658,72.8919779
Railway Station,Dahisar (East) [Line 7],19.2506981,72.8666664
Railway Station,Dahisar (East) [Line 2],19.2517331,72.8673322
Railway Station,Aarey,19.1693242,72.8587918
Railway Station,Dindoshi,19.1797579,72.8582976
Railway Station,Kurar,19.1872999,72.8584547
Railway Station,Akurli,19.1981585,72.8604905
Railway Station,Poisar,19.2035171,72.8631041
Railway Station,Magathane,19.2167968,72.8668012
Railway Station,Devipada,19.2240357,72.8643251
Railway Station,Rashtriya Udyan,19.2348129,72.8630608
Railway Station,Ovaripada,19.2431487,72.8641377
Railway Station,Gundavali,19.1145125,72.8551556
Railway Station,Mogra,19.1284364,72.8554558
Railway Station,Jogeshwari (East),19.1429455,72.8551850
Railway Station,Goregaon (East),19.1524492,72.8565966
Railway Station,Andheri (West),19.1291337,72.8314307
Railway Station,Lower Oshiwara,19.1406979,72.8317139
Railway Station,Oshiwara,19.1460351,72.8339520
Railway Station,Goregaon (West),19.1530241,72.8356664
Railway Station,Lower Malad,19.1730984,72.8364801
Railway Station,Malad (West),19.1852851,72.8358611
Railway Station,Valnai-Meeth Chowky,19.1968293,72.8337752
Railway Station,Bandra Colony,19.0699627,72.8493601
Railway Station,Santacruz M3,19.0792887,72.8471185
Railway Station,CSMI Airport Domestic T1,19.0938990,72.8535765
Railway Station,Sahar Road,19.1021960,72.8652361
Railway Station,Jogeshwari (Harbour Line),19.1411537,72.8494209
Railway Station,Jogeshwari (Western Line),19.1361144,72.8489360
Railway Station,Bangur Nagar,19.1624723,72.8348708
Railway Station,Dadar M3,19.0236238,72.8392214
Railway Station,Shitala Devi Mandir,19.0384641,72.8419646
Railway Station,Dharavi,19.0462612,72.8497410
Railway Station,वरळी Worli,19.0086057,72.8192741
Railway Station,Siddhivinayak Temple,19.0158935,72.8309199
Bus Station,Gorai Bus Depot,19.2323957,72.8296357
Bus Station,Borivali  RS (East),19.2299554,72.8576319
Bus Station,Marol Depot,19.1179082,72.8657206
Bus Station,Kurla East,19.0645019,72.8803229
Bus Station,Trombay,19.0336510,72.9503637
Bus Station,Bandra Terminus,19.0629493,72.8415372
Bus Station,Wadala Depot,19.0147784,72.8523974
Bus Station,Mulund Depot,19.1756977,72.9464875
Bus Station,Ghatkopar,19.0875403,72.9081633
Bus Station,Samata Nagar,19.2068605,72.8697453
Bus Station,Sahar Cargo Complex,19.0975373,72.8652877
Bus Station,Kandivali (E),19.2016957,72.8537297
Bus Station,Unnamed,19.2816723,72.8580151
Bus Station,Majas Depot,19.1389362,72.8647596
Bus Station,7 Bungalows Bus Depot,19.1310871,72.8199601
Bus Station,Chembur Colony Bus Depot,19.0452589,72.8935268
Bus Station,Worli Village,19.0169158,72.8200827
Bus Station,Goregaon Bus Depot,19.1542438,72.8357728
Bus Station,Oshiwara Bus Depot,19.1531335,72.8358981
Bus Station,Kurla Depot,19.0745661,72.8760580
Bus Station,Vaishali Nagar,19.1872973,72.9455298
Bus Station,Santacruz Bus Depot,19.0905676,72.8382833
Bus Station,Unnamed,19.2317548,72.8602575
Bus Station,Unnamed,19.0510956,72.8581907
Bus Station,Unnamed,19.0679976,72.8464744
Bus Station,IC colony,19.2476667,72.8479863
Bus Station,Worli Depot,19.0135149,72.8200060
Bus Station,Magathane Bus Depot,19.2213614,72.8663787
Bus Station,Malad Depot,19.1836961,72.8357077
Bus Station,Poisar Bus Depot,19.2137227,72.8507146
Bus Station,Sangharsh Nagar,19.1084891,72.9011482
Bus Station,Domestic Airport Terminal 1,19.0934529,72.8557692
Bus Station,Vile Parle Station (E),19.1007285,72.8445616
Bus Station,Vikhroli Station (W),19.1106940,72.9276887
Bus Station,Rani Lakshmi Chowk,19.0434662,72.8643372
Bus Station,TMT Mulund Bus Station,19.1735120,72.9577200
Mall,Crystal Plaza,19.1408530,72.8324598
Mall,Thakur Shopping Mall & Multiplex,19.2632484,72.8743808
Mall,"Big Bazzar, Kandivali",19.1900395,72.8591049
Mall,VMall,19.2118189,72.8673877
Mall,City Centre Mall,19.1623421,72.8457567
Mall,Brand Factory Vikhroli,19.1210015,72.9266646
Mall,Rmall,19.1838804,72.9517398
Mall,Sahkari Bhandar Mall,19.0188151,72.8328546
Mall,Harmony Mall,19.1575954,72.8346788
Mall,Powai Plaza,19.1229385,72.9131293
Mall,Hakone,19.1224971,72.9136369
Mall,WMART,19.0372789,72.9322796
Mall,Indraprasth Shopping Center,19.2269466,72.8559399
Mall,Tirumala Shopping Center,19.1290885,72.8279771
Office,Rediff.com,19.0419707,72.8428900
Office,CAMP,19.0738276,72.8251752
Office,Jogeshwari,19.1348994,72.8488199
Office,Office,19.1368193,72.8369499
Office,Indian Register of Shipping,19.1234059,72.8969050
Office,ON-LYNE Comtech (I) Pvt. Ltd.,19.1347102,72.8370295
Office,Kurla Junction,19.0652797,72.8793805
Office,Shiv Sena Branch 96,19.0499171,72.8263727
Office,safecomputing.in,19.2259024,72.9670907
Office,G Grop Tech Park,19.2663428,72.9653821
Office,Prince Tech Solutions,19.0934988,72.9134810
Office,Newspaper stall,19.0282643,72.8975063
Office,Moragaon Society Office,19.1188622,72.8228073
Office,Khanna Estate Agency,19.1286474,72.8206919
Office,Zoya Telecom,19.0655040,72.9224442
Office,Herron ms-cit clases,19.0399970,72.9478829
Office,HP gass,19.0651052,72.9197584
Office,Rationing Card Office,19.1756267,72.9570868
Office,MTNL Office,19.1660507,72.9637120
Office,MTNL Wagle,19.1946291,72.9510941
Office,AFCONS Infrastructure Pvt. Ltd,19.1338237,72.8353808
Office,MIDC Passport Office,19.1922497,72.9555501
Office,The Somaiya School (CBSE),19.0746561,72.9002651
Office,Network 18,19.0009366,72.8279397
Office,Forbes India,19.0008186,72.8281288
Office,Aina Enterprises,19.0632046,72.9251027
Office,Automotivation,19.1731891,72.8486507
Office,DIC INDIAN LTD,19.1058273,72.9013456
Office,OpenTable Inc,19.1110897,72.9081821
Office,Quantum Designs,19.1157358,72.8807033
Office,Space Moulders,19.1592460,72.8377841
Office,SBI General Insurance Pvt. Ltd.,19.1165361,72.8544717
Office,Centre For Development Of Advanced Computing,19.1147399,72.8339566
Office,Blind service asociation,19.0108349,72.8161015
Office,Vodafone Gallery,19.1875384,72.9659687
Office,Thane Municipal Corporation,19.1972286,72.9671722
Office,RTO Thane,19.1891278,72.9643227
Office,Meta,19.0608421,72.8650999
Office,Vodafone Store,19.0550657,72.8361102
Office,UCDC,19.0631143,72.8325104
Office,Unnamed,19.0102807,72.8352908
Office,Unnamed,19.1054340,72.9231706
Office,Bain & Company,19.0633758,72.8620103
Office,Sai Ashirwad Informatia,19.2985692,72.8498640
Office,Retibandar- MBMC Mahanagar Palika,19.2929387,72.8916659
Office,Naturenama.com,19.0891494,72.8380271
Office,Blue Dart,19.1356293,72.8282668
Office,Unnamed,19.1330953,72.9151362
Office,Cpp piping p ltd,19.0504267,72.9159729
Office,French consulate,19.0599974,72.8597758
Office,Architeture BRIO,19.0722455,72.8286631
Office,Rekha Kunj,19.0274682,72.8593275
Office,Rekha Kunj Singit Hq,19.0274557,72.8593535
Office,Unnamed,19.1238523,72.8715722
Office,Unnamed,19.1338482,72.8372773
Office,Unnamed,19.1177492,72.8664929
Office,Unnamed,19.2859078,72.8821789
Office,Frappé Technologies Pvt. Ltd,19.0800454,72.8960346
Office,JP Morgan Chase,19.1161139,72.9089422
Office,Bloomberg,19.0068149,72.8334859
Office,Unnamed,19.1037113,72.9179048
Office,Unnamed,19.0869701,72.8989815
Office,urbz,19.0463179,72.8544577
Office,Mumbai Suburban Collectorate,19.0613396,72.8500552
Office,Unnamed,19.1193316,72.8758772
Office,UTI Tower,19.0655711,72.8597523
Office,Mahanagar Gas (Payments & Accounts),19.0559203,72.8516131
Office,Reserve Bank of India,19.0576747,72.8538153
Office,Electoral Registration Officer,19.2013005,72.8543910
Office,Unnamed,19.1156628,72.8564515
Office,Red Chillies Entertainment,19.0756845,72.8316277
Office,Unnamed,19.1707549,72.9565001
Office,Unnamed,19.1127069,72.8662206
Office,Shiv sena office,19.1738932,72.9547505
Office,Municipal Solid waste management office T ward,19.1730639,72.9589740
Office,Dwello,19.2185529,72.8618336
Office,Pukar,19.0612233,72.8423376
Office,Hathway Internet,19.1300665,72.8166188
Office,Premiere House,19.1225139,72.8714425
Office,Unnamed,19.1792536,72.8348136
Office,All India Himan Rights Association,19.1335369,72.8126123
Office,Unnamed,19.1611634,72.9442224
Office,Unnamed,19.1609925,72.9445125
Office,Unnamed,19.1132118,72.8654559
Office,Shubham Kale,19.2276900,72.8242584
Office,Office of the Deputy Municipal Commissioner (Special),19.0568473,72.8337792
Office,Unnamed,19.1538946,72.8558124
Office,Unnamed,19.1772652,72.8817866
Office,Yashuss Unlimited Business Solutions,19.2320681,72.8286156
Office,Unnamed,19.1681134,72.8486976
Office,Awfis,19.1374195,72.8260421
Office,"Vidyarthi & Associates, Advocates",19.1365435,72.8325698
Office,K.E.S Shroff college,19.2021873,72.8467542
Office,Shri tp bhatia college,19.2015047,72.8465779
Office,"Mukteshwar Ashram,Powai",19.1266111,72.9189520
Office,Ideal high-school,19.1258166,72.9188850
Office,Goodluck Properties,19.1273837,72.9192058
Office,British Deputy High Commission,19.0604770,72.8629665
Office,Lightbox VC,19.0004411,72.8281461
Office,Gharkul Developers,19.1113479,72.9181373
Office,MSEB,19.0548666,72.8453839
Office,India Bull Riders Motorcycle Club,19.2948873,72.8678432
Office,Jagaha.com,19.0652449,72.8350735
Office,Nagar Bhavan,19.2990005,72.8493399
Office,Shirdi Industries Ltd.,19.0146056,72.8380578
Office,F.T. Solutions Pvt. Ltd.,19.1853398,72.9601476
Office,Meril Life Sciences Pvt. Ltd. (International Sales),19.1143222,72.8613992
Office,Meril Life Sciences Pvt. Ltd.,19.1129191,72.8685961
Office,Consulate General of Canada,19.0104331,72.8353426
Office,Tata Motors - Puneet Automobiles Pvt Ltd,19.0130175,72.8265728
Office,CLR FACILITY SERVICES PVT. LTD,19.1070607,72.8517850
Office,Nidhi Broking Services (NBS) Pvt. Ltd.,19.1988860,72.9645295
Office,MBC Park,19.2661558,72.9653614
Office,Mosaic,19.2312764,72.9696940
Office,Edupoint Learning Centre,19.2312647,72.9697288
Office,MASnology SEO and Web Dev. Agency,19.0232346,72.8385392
Office,Passport Seva Kendra,19.1838048,72.8553764
Office,Rass HSE,19.0819230,72.9127025
Office,R central Ward Office,19.2313779,72.8558832
Office,Dux Electricals,19.2958981,72.8456961
Office,"Bombay Cambrige Schoool, Amboli",19.1277074,72.8404126
Office,Australia and New Zealand Bank,19.0123648,72.8264567
Office,Geeta Bharat Jain Office,19.2980991,72.8631914
Office,Bid Detail,19.2096214,72.8746272
Office,Unnamed,19.1026834,72.8356994
Office,Jansampark Karyalay (BJP),19.2965114,72.8645232
Office,Aarna Foundation NGO,19.2079554,72.9534128
Office,Laxmi Investments,19.1297201,72.8258708
Office,Nirmal office,19.1655700,72.9375384
Office,Estacy,19.1761800,72.9600077
Office,Johnson & Johnson,19.1756045,72.9409915
Office,Manastu Space,19.1278335,72.9272068
Office,Sinhal Junior College of Science,19.2379241,72.8560233
Office,L.I.C. Premium Payment Office,19.2437090,72.8515978
Office,Life Insurance Corporation,19.2435826,72.8515229
Office,Solitaire Corporate Park,19.1117051,72.8607208
Office,Unnamed,19.1126587,72.8678050
Office,Kori Classes,19.0534166,72.8708913
Office,Thakur ramnarayan college of Arts and Commerce,19.2548853,72.8663239
Office,thakur ramnarayan college of Arts and Commerce,19.2537072,72.8676602
Office,THAKUR COLLEGE ARTS,19.2599822,72.8598732
Office,thakur,19.2537186,72.8676809
Office,Unnamed,19.2536590,72.8675647
Office,trcac,19.2547784,72.8668868
Office,Public Distribution System Circle Office,19.0615145,72.8971034
Office,BMC S Ward Municipal Chowky,19.1625905,72.9379174
Office,BMC S Ward,19.1360309,72.9295794
Office,bhavin sir's private tution,19.2133186,72.8419585
Office,Life Insurance Corporation (Branch 926),19.0575178,72.8368210
Office,Alankar Classes Nilesh Sir,19.1194123,72.8412822
Office,Alembic Pharmaceuticals Corporate Office,19.1054614,72.8691808
Office,Procter & Gamble Healtcare Limited,19.1136320,72.8589045
Office,SK International,19.0147092,72.8421677
Office,WeWork,19.0581174,72.8651154
Office,Wadala RTO Office,19.0340560,72.8753608
Office,KABIR SHERR SOLUTIONS,19.0542690,72.8265796
Office,Badshah Logistics India Pvt Ltd,19.0455087,72.9009539
Office,Shiv Sena,19.1745285,72.9368407
Office,SBI Pension Funds,19.0611654,72.8683412
Office,Unnamed,19.1036773,72.8333798
Office,Framestore,19.1523721,72.8542998
Office,Kesari Tours Pvt Ltd,19.0349481,72.8425371
Office,हर्षित टेक एण्ड इन्नोवेशन,19.1890770,72.9513287
Office,IDfy,19.1055440,72.8812603
Office,BookMyShow Office,19.1089006,72.8548606
Office,Allen Institute,19.1702113,72.9534085
Office,National Travels,19.0421693,72.8644545
Office,Atlas Skill Tech University,19.0710180,72.8758648
Office,NDDS Manufacturer and design,19.0800820,72.8958567
Office,Conversantech,19.0988742,72.8411616
Office,Bureau of Civil Aviation Security,19.1083812,72.8568527
Office,Directorate General of Civil Affairs,19.1084035,72.8567488
Office,Airport Authority of India Offices,19.1084184,72.8565724
Office,WeWork,19.1797367,72.8355255
Office,DevX Andheri,19.1129446,72.8659106
Office,Unnamed,19.1357236,72.8505702
Office,Innov8 Andheri,19.1137221,72.8553942
Office,Redbrick Offices - Grande Palladium,19.0736493,72.8705679
Office,Vatika Business Centre & Co-working Spaces,19.0730526,72.8699382
Office,OMWORLD INTERNATIONAL LOGISTICS,19.2968529,72.8522693
Office,LODHA Supremus Powai,19.1186003,72.8902558
Office,BARCOA,19.0404875,72.9192059
Office,S.S.ASSOCIATES,19.2942123,72.8731207
Office,Passport Seva Kendra,19.1989497,72.9487689
Office,A. M. Kenia Estate Agency,19.1753721,72.8638170
Office,ASTRAVANT REALTY,19.1408475,72.8329386
Office,Vinayalaya Retreat House,19.1165648,72.8609245
Office,Consulate General of Ireland,19.0689537,72.8690884
Office,Spotify HQ,19.0594957,72.8649049
Office,Amazon HQ,19.0606258,72.8654403
Office,Netflix HQ,19.0593538,72.8654383
Office,Desire Property Dealers,19.1457199,72.8455450
Office,Desire Properties and Consultancy,19.1455614,72.8456182
Office,Amin Estate Agency and Consultancy,19.1462908,72.8468073
Office,Delta Realtors,19.1462906,72.8468442
Office,Indian Singers' and Musicians' Rights Association,19.1377177,72.8228413
Office,Sharekhan,19.1446009,72.8239224
Office,Royal Consultants,19.1446130,72.8239101
Office,Selections Estate Consultants,19.1448445,72.8238103
Office,Royal Estate,19.1437268,72.8243734
Office,Aceonics | Reliable IT Services,19.2067710,72.9553654
Office,Castle,19.1421953,72.8252101
Office,Property Anthem,19.1422022,72.8252053
Office,Nexus Estate Consultants,19.1410542,72.8258082
Office,Regal Estate Consultants,19.1404932,72.8261319
Office,Antlia Engineering Works,19.1737095,72.8481584
Office,Office of Sub-registrar,19.1185023,72.9354719
Office,Grand Duchy of Luxembourg Consulate,19.0596156,72.8303286
Office,Missionary Society of the Sacred Hearts of Jesus,19.0585323,72.8275943
Office,V A D Lawgical & Consultancy India LLP,19.0273883,72.8562834
Office,Jio Digital Line,19.0262719,72.8559060
Office,Jadhav Property Consultant,19.0269934,72.8545319
Office,Shethia's Insurance,19.0286723,72.8547869
Office,XKDR Forum,19.1110523,72.8603476
Office,Sonam Builders,19.2983249,72.8626935
Office,Shiv Sena Shakha,19.2938553,72.8604043
Office,F.T. Solutions Pvt. Ltd.,19.2015476,72.9548316
Office,LIC Life Insurance,19.2938312,72.8597730
Office,ID Card Office,19.0751706,72.8988370
Office,Shivasena,19.1687633,72.9314703
Office,T Ward BMC Chowky,19.1755697,72.9616034
Office,Somaiya School of Design,19.0753187,72.8985763
Office,Station Master,19.1721508,72.9562778
Office,Muthoot Finance,19.1718391,72.9601472
Office,Rajpipla society,19.0766830,72.8345858
Office,RIIDL,19.0725635,72.9005103
Office,K J Somaiya College Of Arts And Commerce,19.0749103,72.8996960
Office,S K Somaiya Vinay Mandir Junior College,19.0748478,72.8989396
Office,K J Somaiya College of Science and Commerce,19.0754562,72.8992597
Office,S K Somaiya Degree College,19.0751250,72.8990791
Office,Genstar network solutions,19.0929329,72.9159455
Taxi Stand,Juhu Circle,19.1154311,72.8300101
Taxi Stand,Unnamed,19.0519765,72.8245170
Taxi Stand,Auto Stand,19.0663752,72.8795444
Taxi Stand,Unnamed,19.0549580,72.8400198
Taxi Stand,United Mumbai Pune Taxi,19.2734273,72.9135931
Taxi Stand,Hostel 2 Stand,19.1359706,72.9125340
Taxi Stand,Main gate Stand,19.1256162,72.9161191
Taxi Stand,YP gate stand,19.1291463,72.9189568
Taxi Stand,H10 stand,19.1295220,72.9156990
Taxi Stand,SOM stand,19.1316981,72.9152443
Taxi Stand,Hostel 15 Stand,19.1374195,72.9140141
Taxi Stand,Unnamed,19.0724761,72.9082346
Taxi Stand,Unnamed,19.0598475,72.8241171
Taxi Stand,Rickshaw Stand,19.1721915,72.9560594
Taxi Stand,Rickshaw Stand,19.1254007,72.9188320
Taxi Stand,Fast Track Travels,19.1026116,72.8668159
Taxi Stand,Unnamed,19.1007861,72.8746506
Taxi Stand,Nahur Auto Stand,19.1540592,72.9468083
Taxi Stand,Rickshaw Stand,19.1729801,72.9571178
Taxi Stand,Rickshaw Stand,19.1541795,72.9569252
Taxi Stand,Rickshaw Stand,19.1002913,72.8445013
Taxi Stand,Unnamed,19.1041394,72.8312178
Taxi Stand,Auto Stand,19.1546934,72.9563640
Taxi Stand,Auto Stand,19.1718025,72.9551775
Taxi Stand,Nahur Gaon Auto Stand,19.1625115,72.9480365
Taxi Stand,Auto Stand,19.1717258,72.9570056
Taxi Stand,Rickshaw Stand,19.1552736,72.9291918
Taxi Stand,Share Rickshaw to Nahur Station,19.1638797,72.9383947
Taxi Stand,Share Rickshaw to Hegdewar Chowk,19.1567691,72.9471293
Taxi Stand,Rickshaw Stand,19.0996322,72.9177216
Taxi Stand,Rickshaw Drop Off,19.0990517,72.9171036
Taxi Stand,Taxi Drop Off,19.0991853,72.9169231
Taxi Stand,Rickshaw Stand,19.0852100,72.9082802
Taxi Stand,Rickshaw Stand Towards Ghatkopar West,19.0848121,72.9087362
Taxi Stand,Rickshaw Stand,19.0860579,72.9097541
Taxi Stand,Rickshaw Stand,19.0855269,72.9074407
Taxi Stand,Unnamed,19.2993142,72.8620904
Taxi Stand,Rickshaw Stand,19.1804965,72.9660430
Taxi Stand,Khindipada Rickshaw Stand,19.1666178,72.9296447
Taxi Stand,Share Rickshaw To Amar Nagar,19.1733913,72.9564892
